﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿Symbol,Name,Qty,Price,Day Gain/Loss,Day Gain/Loss %,Market Value £,Market Value,Book Cost,Gain/Loss,Gain/Loss %,Average Price
GSK,GSK,69,"1,662.50p",£8.63,0.76%,"£1,147.13","£1,147.13",£994.09,£153.04,15.40%,"1,440.71p"
HARL,Harland & Wolff Group Holdings,9692,8.00p,£-24.23,-2.90%,£775.36,£775.36,"£1,053.90",£-278.54,-26.43%,10.87p
IKA,Ilika,3955,23.00p,£39.55,4.17%,£909.65,£909.65,"£1,749.56",£-839.91,-48.01%,44.24p
IAG,International Consolidated Airlines Group SA,519,182.90p,£3.89,0.41%,£949.25,£949.25,£655.52,£293.73,44.81%,126.30p
IDS,International Distribution Services,502,339.00p,£8.03,0.47%,"£1,701.78","£1,701.78",£998.09,£703.69,70.50%,198.82p
n/a,INTERSERVE ORD GBP0.001,956,£0.00,n/a,n/a,£0.00,£0.00,£0.01,£-0.01,-100.00%,£0.00
ITM,ITM Power,429,50.00p,£2.49,1.17%,£214.50,£214.50,£499.76,£-285.26,-57.08%,116.49p
JET2,Jet2  Ordinary Shares,315,"1,439.00p",£-48.77,-1.06%,"£4,532.85","£4,532.85","£3,985.33",£547.52,13.74%,"1,265.18p"
WG.,John Wood Group,1281,130.50p,£-53.80,-3.12%,"£1,671.71","£1,671.71","£2,066.66",£-394.95,-19.11%,161.33p
KGF,Kingfisher,365,282.00p,£2.19,0.21%,"£1,029.30","£1,029.30",£998.31,£30.99,3.10%,273.51p
LGEN,Legal & General Group,1475,223.00p,£-17.70,-0.54%,"£3,289.25","£3,289.25","£3,738.91",£-449.66,-12.03%,253.49p
LLOY,Lloyds Banking Group,2146,57.24p,£-18.46,-1.48%,"£1,228.37","£1,228.37","£1,064.10",£164.27,15.44%,49.59p
MKS,Marks & Spencer Group,315,343.30p,£11.03,1.03%,"£1,081.40","£1,081.40","£1,000.39",£81.01,8.10%,317.58p
PFC,Petrofac Ltd,605,15.01p,£3.59,4.11%,£90.81,£90.81,£502.57,£-411.76,-81.93%,83.07p
PHNX,Phoenix Group Holdings,410,561.50p,£-26.65,-1.14%,"£2,302.15","£2,302.15","£2,094.46",£207.69,9.92%,510.84p
POLX,Polarean Imaging  Ordinary Shares,1565,1.60p,£0.86,3.28%,£25.04,£25.04,£503.44,£-478.40,-95.03%,32.17p
PHE,PowerHouse Energy Group,45308,1.10p,£-9.97,-1.83%,£498.39,£498.39,£403.98,£94.41,23.37%,0.89p
PFD,Premier Foods,1554,179.00p,£0.00,0.00%,"£2,781.66","£2,781.66","£1,967.59",£814.07,41.37%,126.61p
n/a,QBS FLYWHEEL LTD NPV,6,£0.00,n/a,n/a,£0.00,£0.00,£0.01,£-0.01,-100.00%,£0.00
RCGH,RC365 Holding,1283,1.60p,£2.57,11.11%,£20.53,£20.53,£999.30,£-978.77,-97.95%,77.89p
RR.,Rolls-Royce Holdings,564,475.90p,£65.99,2.52%,"£2,684.08","£2,684.08",£507.18,"£2,176.90",429.22%,89.93p
SHOE,Shoe Zone,688,145.00p,£17.20,1.70%,£997.60,£997.60,"£1,600.66",£-603.06,-37.68%,232.65p
TW.,Taylor Wimpey,727,161.40p,£-7.63,-0.65%,"£1,173.38","£1,173.38",£798.90,£374.48,46.87%,109.89p
TSCO,Tesco,1352,362.80p,£91.94,1.91%,"£4,905.06","£4,905.06","£3,359.93","£1,545.13",45.99%,248.52p
VTU,Vertu Motors,594,68.80p,£-2.38,-0.58%,£408.67,£408.67,£499.68,£-91.01,-18.21%,84.12p
VTY,Vistry Group,45,"1,349.00p",£-6.30,-1.03%,£607.05,£607.05,£593.72,£13.33,2.25%,"1,319.38p"
VOD,Vodafone Group,950,76.06p,£4.37,0.61%,£722.57,£722.57,£851.31,£-128.74,-15.12%,89.61p
W7L,Warpaint London,143,550.00p,£20.02,2.59%,£786.50,£786.50,£447.08,£339.42,75.92%,312.64p
JDW,Wetherspoon (J D),211,732.00p,£-22.16,-1.41%,"£1,544.52","£1,544.52","£1,589.69",£-45.17,-2.84%,753.41p
WBI,Woodbois Ltd,12323,0.44p,£3.08,5.62%,£54.22,£54.22,£999.99,£-945.77,-94.58%,8.11p
"",,,Totals,,,,,,,,
"",,,GBP,£-135.50,0.53%,"£72,299.05","£72,299.05","£66,764.00","£5,535.05",8.29%,
